Year,EV/Revenue,EV/EBITDA,EV/Invested Capital
2023,15.388879556108876,31.017066874004303,12.866465758434517
2022,16.636096891431194,32.90574457710135,15.247749572001418
2021,19.81433522832325,39.12129090443769,16.641610020578206
2020,23.4878208516357,49.093297562174705,18.49414857098557
